Player,Team,Pos,Injury,Status,Est. Return
London Johnson,Louisville,G,Redshirt,Out For Season,Subscribers Only
Koren Johnson,Mississippi,G,Undisclosed,Game Time Decision,Subscribers Only
Ty-Laur Johnson,San Diego,G,Not Injury Related,Out,Subscribers Only
Dorian Jones,Rutgers,G,Redshirt,Out For Season,Subscribers Only
Tajae Jones,Siena,F,Back,Out,Subscribers Only
Sin'Cere Jones,Virginia Tech,F,Foot,Out For Season,Subscribers Only
Sean Jones,Marquette,G,Toe,Out For Season,Subscribers Only
Sir Marius Jones,New Mexico,G,Redshirt,Out For Season,Subscribers Only
Tanner Jones,Central Florida,G,Undisclosed,Out,Subscribers Only
Papa Amadou Kante,Pittsburgh,F,Knee,Out For Season,Subscribers Only
Bouna Kebe,Delaware,F,Undisclosed,Out,Subscribers Only
Jamyron Keller,Louisiana-Lafayette,G,Foot,Out For Season,Subscribers Only
Mikey Kelvin,Florida International,F,Undisclosed,Out For Season,Subscribers Only
Franck Kepnang,Washington,C,Leg,Game Time Decision,Subscribers Only
George Kimble,Vanderbilt,G,Knee,Out For Season,Subscribers Only
Amarr Knox,Eastern Kentucky,G,Not Injury Related,Out,Subscribers Only
Brody Kozlowski,BYU,F,Redshirt,Out For Season,Subscribers Only
Amar Kuljuhovic,Missouri State,F,Undisclosed,Game Time Decision,Subscribers Only
Trevion LaBeaux,East Carolina,G,Lower Body,Out For Season,Subscribers Only
Gabriel Landeira,Georgetown,G,Undisclosed,Out,Subscribers Only
Colt Langdon,North Carolina State,F,Undisclosed,Out,Subscribers Only
Peyton Law,South Alabama,F,Knee,Out,Subscribers Only
Preston Lee,Portland,G,Shoulder,Out For Season,Subscribers Only
KJ Lewis,Georgetown,G,Ankle,Out For Season,Subscribers Only
Chas Lewless,West Georgia,G,Arm,Game Time Decision,Subscribers Only
Ricky Liburd,Michigan,F,Redshirt,Out For Season,Subscribers Only
NaVaughn Long,Portland,G,Hand,Out For Season,Subscribers Only
Max Lorenson,Minnesota,G,Redshirt,Out For Season,Subscribers Only
Jeremy Lorenz,DePaul,F,Hip,Out,Subscribers Only
Chuck Love,Loyola-Chicago,G,Undisclosed,Out,Subscribers Only
Jaland Lowe,Kentucky,G,Shoulder,Out For Season,Subscribers Only
CJ Luster,UNC-Wilmington,G,Undisclosed,Out For Season,Subscribers Only
Treyvon Maddox,Miami,F,Undisclosed,Out,Subscribers Only
JJ Mandaquit,Washington,G,Foot,Out For Season,Subscribers Only
Jon Mani,Colorado,G,Redshirt,Out For Season,Subscribers Only
Evan Manjikian,UCLA,F,Undisclosed,Out,Subscribers Only
